Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
683.157,0.387505,-1.16624,-0.97913,-0.99702,-0.13983,-0.290298,-0.176557,-3.60763,-5.86982,-6.87027,-1.75325,-1.83995,-3.67388,-1.63275,-1.75343,-2.83352
683.498,0.386411,-1.15334,-0.968258,-0.984947,-0.136104,-0.286776,-0.168949,-3.61776,-5.88708,-6.89121,-1.748,-1.83582,-3.67327,-1.639,-1.76808,-2.87249
683.839,0.385249,-1.14056,-0.957339,-0.972931,-0.132732,-0.283781,-0.161918,-3.62789,-5.90358,-6.9117,-1.74273,-1.83168,-3.67199,-1.64538,-1.78241,-2.91059
684.18,0.384021,-1.12796,-0.946404,-0.961021,-0.129702,-0.281279,-0.155428,-3.63798,-5.91929,-6.93176,-1.73748,-1.82757,-3.67009,-1.6519,-1.79645,-2.94782
684.521,0.38273,-1.11559,-0.935483,-0.949266,-0.126995,-0.279228,-0.149436,-3.64802,-5.93421,-6.95138,-1.73231,-1.82351,-3.66759,-1.65856,-1.81021,-2.98418
684.862,0.381378,-1.10351,-0.924608,-0.937717,-0.124591,-0.277585,-0.143898,-3.65796,-5.94832,-6.97057,-1.72727,-1.81954,-3.66453,-1.66538,-1.82371,-3.01968
685.203,0.379966,-1.09179,-0.913812,-0.926427,-0.122466,-0.276301,-0.138763,-3.66778,-5.96161,-6.98934,-1.7224,-1.81568,-3.66093,-1.67236,-1.83699,-3.05432
685.544,0.378498,-1.08047,-0.90313,-0.915446,-0.120593,-0.275327,-0.133979,-3.67744,-5.97406,-7.00768,-1.71775,-1.81194,-3.65681,-1.67949,-1.85005,-3.0881
685.885,0.376973,-1.06961,-0.892595,-0.904827,-0.118944,-0.27461,-0.129489,-3.68693,-5.98567,-7.0256,-1.71336,-1.80836,-3.6522,-1.68679,-1.86291,-3.12103
686.226,0.375396,-1.05927,-0.882243,-0.894623,-0.117487,-0.274094,-0.125234,-3.69619,-5.99644,-7.0431,-1.70927,-1.80494,-3.64712,-1.69424,-1.87557,-3.15312
686.567,0.373767,-1.0495,-0.872111,-0.884884,-0.116189,-0.273723,-0.121154,-3.70522,-6.00635,-7.06018,-1.70552,-1.8017,-3.64158,-1.70186,-1.88805,-3.18437
686.907,0.372089,-1.04036,-0.862235,-0.875661,-0.115014,-0.273439,-0.11719,-3.71399,-6.0154,-7.07685,-1.70213,-1.79863,-3.63561,-1.70964,-1.90034,-3.2148
687.248,0.370363,-1.03188,-0.85265,-0.867003,-0.113928,-0.273183,-0.113277,-3.72246,-6.0236,-7.09311,-1.69913,-1.79576,-3.62922,-1.71757,-1.91246,-3.2444
687.588,0.368591,-1.02411,-0.843394,-0.858958,-0.112893,-0.272898,-0.109357,-3.73062,-6.03094,-7.10897,-1.69655,-1.79307,-3.62242,-1.72565,-1.92439,-3.27318
687.929,0.366775,-1.01709,-0.834503,-0.851571,-0.111872,-0.272524,-0.105367,-3.73844,-6.03742,-7.12442,-1.69441,-1.79056,-3.61522,-1.73387,-1.93613,-3.30116
688.27,0.364915,-1.01087,-0.82601,-0.844885,-0.110827,-0.272005,-0.10125,-3.74591,-6.04307,-7.13947,-1.69272,-1.78824,-3.60764,-1.74223,-1.94767,-3.32834
688.61,0.363014,-1.00548,-0.817951,-0.83894,-0.109722,-0.271285,-0.096948,-3.753,-6.04787,-7.15413,-1.6915,-1.78608,-3.59968,-1.75071,-1.95902,-3.35473
688.95,0.361073,-1.00095,-0.810358,-0.833772,-0.108521,-0.270309,-0.0924076,-3.75971,-6.05185,-7.16839,-1.69075,-1.78407,-3.59134,-1.7593,-1.97014,-3.38034
689.291,0.359094,-0.997296,-0.803264,-0.829417,-0.107189,-0.269027,-0.0875779,-3.76601,-6.05501,-7.18225,-1.69048,-1.78221,-3.58263,-1.76798,-1.98103,-3.40519
689.631,0.357077,-0.99455,-0.796697,-0.825902,-0.105693,-0.267389,-0.0824119,-3.7719,-6.05736,-7.19574,-1.69068,-1.78047,-3.57357,-1.77675,-1.99168,-3.42928
689.971,0.355024,-0.992725,-0.790685,-0.823254,-0.104001,-0.26535,-0.0768668,-3.77737,-6.05894,-7.20883,-1.69136,-1.77883,-3.56414,-1.78558,-2.00206,-3.45262
690.311,0.352936,-0.991835,-0.785253,-0.821494,-0.102085,-0.262869,-0.0709047,-3.78241,-6.05974,-7.22155,-1.6925,-1.77728,-3.55435,-1.79446,-2.01216,-3.47524
690.652,0.350814,-0.991886,-0.780423,-0.820639,-0.0999174,-0.259906,-0.0644925,-3.78701,-6.0598,-7.23389,-1.6941,-1.77578,-3.54421,-1.80335,-2.02195,-3.49713
690.992,0.348658,-0.99288,-0.776216,-0.820701,-0.0974762,-0.256429,-0.0576026,-3.79118,-6.05914,-7.24585,-1.69614,-1.77432,-3.53372,-1.81225,-2.03142,-3.51831
691.332,0.346471,-0.994813,-0.772647,-0.821686,-0.0947405,-0.252408,-0.0502129,-3.7949,-6.05777,-7.25745,-1.6986,-1.77287,-3.52288,-1.82112,-2.04055,-3.53881
691.672,0.344252,-0.997679,-0.76973,-0.823596,-0.0916937,-0.24782,-0.0423074,-3.79818,-6.05573,-7.26867,-1.70148,-1.77139,-3.51169,-1.82994,-2.04931,-3.55863
692.012,0.342003,-1.00146,-0.767474,-0.826429,-0.0883225,-0.242646,-0.0338758,-3.80103,-6.05305,-7.27953,-1.70473,-1.76988,-3.50015,-1.83868,-2.05768,-3.57778
692.352,0.339723,-1.00615,-0.765884,-0.830174,-0.0846174,-0.236871,-0.0249141,-3.80344,-6.04975,-7.29003,-1.70835,-1.76829,-3.48827,-1.84731,-2.06565,-3.59629
692.692,0.337414,-1.01171,-0.764962,-0.834818,-0.0805725,-0.230486,-0.0154241,-3.80542,-6.04586,-7.30017,-1.71231,-1.7666,-3.47605,-1.85581,-2.07319,-3.61417
693.031,0.335077,-1.01812,-0.764705,-0.840342,-0.076186,-0.223489,-0.00541384,-3.80698,-6.04142,-7.30996,-1.71657,-1.76479,-3.46349,-1.86415,-2.08029,-3.63143
693.371,0.332711,-1.02534,-0.765108,-0.846721,-0.0714598,-0.215881,0.00510276,-3.80812,-6.03646,-7.3194,-1.72111,-1.76283,-3.45059,-1.87229,-2.08693,-3.6481
693.711,0.330318,-1.03335,-0.766158,-0.853925,-0.0663998,-0.20767,0.016106,-3.80884,-6.03101,-7.3285,-1.7259,-1.76069,-3.43737,-1.88021,-2.09309,-3.66419
694.051,0.327897,-1.04209,-0.767842,-0.86192,-0.0610154,-0.198868,0.0275707,-3.80917,-6.02511,-7.33725,-1.73092,-1.75834,-3.42383,-1.88788,-2.09876,-3.67973
694.39,0.325449,-1.05153,-0.770139,-0.870664,-0.0553199,-0.189493,0.0394663,-3.8091,-6.01879,-7.34566,-1.73612,-1.75577,-3.40996,-1.89527,-2.10392,-3.69473
694.73,0.322975,-1.0616,-0.773026,-0.880115,-0.0493299,-0.179568,0.0517573,-3.80864,-6.01209,-7.35374,-1.74148,-1.75296,-3.39579,-1.90234,-2.10857,-3.70921
695.069,0.320475,-1.07227,-0.776476,-0.890223,-0.0430655,-0.169119,0.0644034,-3.80781,-6.00505,-7.36149,-1.74696,-1.74988,-3.38131,-1.90907,-2.1127,-3.7232
695.409,0.317949,-1.08347,-0.780457,-0.900934,-0.0365496,-0.158179,0.0773604,-3.80662,-5.9977,-7.36891,-1.75253,-1.74651,-3.36654,-1.91544,-2.11629,-3.73671
695.748,0.315397,-1.09514,-0.784934,-0.912193,-0.0298084,-0.146784,0.0905801,-3.80506,-5.99007,-7.37601,-1.75817,-1.74284,-3.35149,-1.92141,-2.11936,-3.74978
696.088,0.31282,-1.10723,-0.789868,-0.923939,-0.0228703,-0.134975,0.104011,-3.80317,-5.98222,-7.38279,-1.76383,-1.73885,-3.33617,-1.92697,-2.12188,-3.76241
696.427,0.310217,-1.11966,-0.795217,-0.936109,-0.0157662,-0.122794,0.117598,-3.80093,-5.97416,-7.38926,-1.7695,-1.73453,-3.32058,-1.93209,-2.12387,-3.77464
696.766,0.30759,-1.13238,-0.800935,-0.948635,-0.00852919,-0.110288,0.131286,-3.79837,-5.96595,-7.39543,-1.77512,-1.72986,-3.30473,-1.93675,-2.12532,-3.7865
697.106,0.304939,-1.14532,-0.806975,-0.961451,-0.00119384,-0.0975089,0.145014,-3.7955,-5.95761,-7.40128,-1.78068,-1.72484,-3.28865,-1.94093,-2.12624,-3.79799
