Wavelength (nm),N2 Baseline,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water
607.318,0,29.75829231,37.74602898,20.02633178,13.81041169,13.85999146,0.275797275,-0.523339771,-2.274579397,-1.084677349,-2.792003758,5.552566032,5.671134008,5.549572174,8.689564262,9.47465273,0.535568072,4.743405199,4.885237494,2.827685781,3.23671934,20.33516876,14.55141484,9.391124936,2.829377039,-0.383915817,-1.775297708,-0.510803378,-2.208385594,-1.482566986,-1.44175391,27.60999215,31.7178829,28.16326407,23.07826408,19.86279565,-0.07512049,-0.908796227,-2.541307082,-2.580410899,-2.51242024,-0.607565383,-2.486598097,-1.323669062,1.267653689,11.61312129,-0.688872902,0.55610669,0.48342608,-1.961857868,-2.163155746
607.67,0,26.5997461,37.61027094,20.02745,15.3628936,14.72916097,-1.006364714,-2.242037257,-2.619124287,-2.138447942,-3.819307897,3.731532984,5.907238265,4.22270397,6.216355297,7.52988076,0.736012027,2.608175375,4.197318689,2.602068598,2.4422746,17.67516108,17.32858824,13.98497669,6.382318849,2.141822965,-1.100316174,-0.820035493,-2.743390166,1.410769928,-1.035251016,28.31356844,37.55916643,33.45817521,29.63346481,24.36396759,2.204714833,-1.552600411,-1.311645133,-2.323227154,-1.862082213,-0.603830921,-5.113347633,-8.63934236,-6.046688719,1.149452342,0.388708607,-0.998211298,-2.248038745,-2.964980437,-4.54413654
608.021,0,21.67502928,34.19446697,19.48976851,16.4903942,16.40578162,-2.522490633,-2.886725247,-4.55685459,-2.869830875,-3.821815327,3.63266312,4.21536616,3.002569266,4.881675684,6.034577541,-0.53812301,3.360907367,2.381838348,2.47107231,1.916920104,14.38734139,16.1917492,12.91191299,6.243339174,3.091411284,-0.287598922,1.58524071,-1.114579069,-1.410066175,-1.88875813,22.29157937,33.29850811,33.61943014,28.54743268,25.05873697,1.220435018,1.258009804,0.99282426,0.389391087,-1.007436676,-1.015878375,-5.832642158,-11.99967588,-13.30756906,-8.184866549,-1.885157034,-1.038326583,-4.393324416,-5.06370486,-5.313729697
608.372,0,18.90269175,36.50095408,19.80454967,17.50060243,18.21210232,3.419294656,1.583307383,0.30437233,-0.629296237,-1.513083691,-0.091931667,0.294255159,-1.478422753,-0.091177856,1.270249341,-0.912113101,1.028716649,1.131367636,2.512030525,2.570830605,8.109137774,12.80379067,10.3260298,3.851128116,1.667179977,-3.699712178,-4.017019522,-4.339104564,-5.379960018,-5.564379128,18.39309166,26.58814377,31.92124109,29.41343362,26.27847645,-1.464698927,0.218565193,-1.887601888,-2.017681205,-1.017478682,-0.350647398,-6.161552845,-14.2019577,-18.44641745,-17.56860017,-2.208283755,-3.130736815,-4.296796188,-4.277832396,-4.183940234
608.723,0,10.46072359,28.31092989,16.23615821,14.70768899,16.19292209,0.473618494,-0.578076215,-1.873799346,-1.586184738,-2.206965927,-0.821882278,-1.522569607,-0.696373519,-0.303230975,0.004066118,1.303002941,2.32105789,0.962662133,0.071219334,2.605016724,4.863122021,11.5595784,10.35292996,4.864867635,1.165281124,-0.736660025,-3.231852624,-1.983283377,-2.657674781,-4.59724503,11.81105292,21.15286009,25.65288746,25.28397555,23.25615914,-1.370698307,-2.171225075,-3.489557088,-3.42039406,-2.127751171,-1.094717252,-7.085359699,-16.2711588,-23.60552238,-24.51740757,-5.51538631,-3.133949506,-3.450291085,-4.492625712,-6.929066242
609.074,0,3.905516743,17.94794008,10.56344098,12.5222343,13.62327586,1.272327717,-1.563691709,-2.906073787,-1.972398447,-0.871254676,-2.934027354,-3.120593529,-2.937275053,-3.025663733,-2.715902979,-0.136598321,-1.092509916,0.576272007,-0.261507976,1.905045147,-0.350066934,6.903509682,7.75992962,2.998254387,0.171862083,-0.43732919,-1.701678621,-3.913320745,-4.864560202,-4.039409481,1.764925984,13.5733076,19.33804036,19.65605169,16.45397788,-1.460878544,-1.911419178,-3.048889486,-1.879385818,-1.813317012,-1.100646774,-7.698781733,-18.04866138,-27.3963928,-30.5016648,0.324168559,-0.791496771,-3.975520836,-3.867156932,-3.165134944
609.425,0,-0.58309616,11.65683631,8.127838134,9.565478146,12.4069457,2.023232967,-2.059270368,-3.436872684,-2.758044352,-2.030873167,-6.187696895,-4.626466147,-4.5030965,-4.785732781,-4.492903787,1.620585786,0.726755745,1.196656561,1.652884491,2.554457849,-5.602187503,3.244737918,4.935856187,2.162184787,-0.887025726,-3.817144742,-3.637355366,-4.893312579,-6.026256008,-6.413343886,-6.545304072,3.696820649,10.67653987,14.18116169,11.9221553,1.981492154,-1.695122492,-2.093680419,-3.771785188,-1.723151682,-0.32775745,-7.674593903,-18.06436448,-28.43968847,-32.85686429,0.558101331,-1.977519357,-2.190766594,-0.593049393,-2.221728726
609.776,0,-5.881914387,2.816509079,4.842902791,7.213226292,8.672790746,1.070843548,-1.610398823,-3.624147382,-3.156461696,-3.514942941,-5.262693552,-6.215182439,-5.314637039,-5.885381726,-5.979862195,5.023358938,3.72211972,4.628337358,4.002030041,3.917681274,-10.09943936,-0.570492641,1.124318497,-0.421025107,-1.829197703,-0.988775099,-3.687197342,-5.40258768,-5.257791655,-8.284521825,-12.67023566,-4.429490969,3.439102251,7.252759964,7.815880166,-1.104641883,-1.585314005,-2.03236874,-2.390365653,-1.541809152,-1.520763024,-8.218112837,-18.83806649,-29.66711741,-35.89174245,0.852391349,-1.279711736,-2.730590629,-2.623321191,-1.999246443
610.127,0,-16.44575373,-8.181267862,-0.810265009,0.808240658,2.957996287,0.86759866,-1.87327928,-4.618727309,-2.334074776,-4.791476654,-6.373400697,-6.319310386,-5.73766699,-6.591421589,-7.378735392,2.778724336,1.891291761,2.148316836,1.23955208,2.74575642,-14.92633261,-6.498237727,-3.574729975,-2.694421041,-4.740259632,-1.92768737,-3.026555761,-4.402982449,-5.502730259,-6.299416607,-18.85649378,-10.23309451,-4.141061581,0.983881034,2.114784192,0.512359551,-2.709199438,-1.773033708,0.012780899,-1.639255618,-1.41428637,-6.992722354,-17.40107547,-29.37210161,-37.04262779,-0.759107159,-2.269567783,-3.979909014,-2.578000096,-5.289528397
610.478,0,-20.81538183,-18.48601444,-6.310200889,-3.338073593,-0.507316277,-0.432176535,-0.227505975,-4.122314311,-2.891615945,-4.179859556,-6.78964661,-7.649715846,-6.01437845,-7.306611816,-9.189324665,1.685047635,3.124776248,2.681825607,6.605748209,3.7896193,-19.1570745,-11.9325341,-7.565474142,-6.404363504,-6.374642146,-1.389862102,-2.529236086,-3.982026355,-3.750518732,-3.505677141,-23.14074595,-17.67528003,-10.71337747,-5.920107777,-4.236440643,0.999443632,-2.879467223,-1.635263307,-2.848271602,-1.414874601,-0.48417136,-5.789722709,-15.42962018,-26.71718046,-36.41123246,-0.733275092,-2.016905814,-0.842165644,-0.718691536,-4.180619426
